Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Seated Row (Cable)",1,90.0,12,0,0,"",,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Seated Row (Cable)",2,100.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Seated Row (Cable)",3,110.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Seated Row (Cable)",4,120.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Leg Extension (Machine)",1,50.0,12,0,0,"",,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Leg Extension (Machine)",2,50.0,10,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Leg Extension (Machine)",3,40.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Leg Extension (Machine)",4,40.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Iso-Lateral Row (Machine)",1,60.0,12,0,0,"",,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Iso-Lateral Row (Machine)",2,70.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Iso-Lateral Row (Machine)",3,80.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Iso-Lateral Row (Machine)",4,90.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Standing Calf Raise (Machine)",1,22.6796185,12,0,0,"",,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Standing Calf Raise (Machine)",2,22.6796185,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Standing Calf Raise (Machine)",3,27.2155422,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Standing Calf Raise (Machine)",4,27.2155422,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Lat Pulldown (Cable)",1,40.0,12,0,0,"",,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Lat Pulldown (Cable)",2,50.0,12,0,0,,,
